id;locale;start_promt;another_promt;trailer
23;da; Hej! Rådgive en tilfældig film eller serie. Returner svaret strengt i følgende format: { 'title' : Navnet på filmen eller serien, 'poster' : Link til et billede fra en film eller en serie, se efter et billede på webstedet imdb, 'desc' : Detaljeret beskrivelse af filmen eller serien }; Tilby en anden film eller en serie. Returner svaret strengt i følgende format: { 'title' : Navnet på filmen eller serien, 'poster' : Link til et billede fra en film eller en serie, se efter et billede på webstedet imdb, 'desc' : Detaljeret beskrivelse af filmen eller serien }; Tak! Find et link til traileren
24;dv; އައްސަލާމް ޢަލައިކުމް! ރެންޑަމް ފިލްމެއް ނުވަތަ ސީރީޒެއް ލަފާ ދޭށެވެ. ޖަވާބު ހަރުކަށިކޮށް ތިރީގައިވާ ފޯމެޓުގައި އަނބުރާ ދެއްވާށެވެ. { 'title' : ފިލްމު ނުވަތަ ސީރީޒްގެ ނަން, 'poster' : ފިލްމެއް ނުވަތަ ސީރީޒެއްގެ ތަސްވީރެއްގެ ލިންކް، އެ ސައިޓުގައިވާ ތަސްވީރެއް ބަލާށެވެ imdb, 'desc' : ފިލްމު ނުވަތަ ސީރީޒްގެ ތަފްސީލީ ބަޔާން }; އެހެން ފިލްމެއް ނުވަތަ ސީރީޒެއް ހުށަހަޅާށެވެ. ޖަވާބު ހަރުކަށިކޮށް ތިރީގައިވާ ފޯމެޓުގައި އަނބުރާ ދެއްވާށެވެ. { 'title' : ފިލްމު ނުވަތަ ސީރީޒްގެ ނަން, 'poster' : ފިލްމެއް ނުވަތަ ސީރީޒެއްގެ ތަސްވީރެއްގެ ލިންކް، އެ ސައިޓުގައިވާ ތަސްވީރެއް ބަލާށެވެ imdb, 'desc' : ފިލްމު ނުވަތަ ސީރީޒްގެ ތަފްސީލީ ބަޔާން }; ޝުކުރިއްޔާ! ޓްރެއިލާގެ ލިންކެއް ހޯއްދަވާ
25;doi; नमस्कार! बेतरतीब फिल्म या श्रृंखला दी सलाह देओ। जवाब सख्ती कन्नै निम्नलिखित प्रारूप च वापस करो: { 'title' : फिल्म या सीरीज दा नाम, 'poster' : फिल्म या श्रृंखला दी इक तस्वीर दा लिंक, साइट imdb पर इक तस्वीर दिक्खो, 'desc' : फिल्म या श्रृंखला दा विस्तृत विवरण }; इक होर फिल्म या सीरीज पेश करो। जवाब सख्ती कन्नै निम्नलिखित प्रारूप च वापस करो: { 'title' : फिल्म या सीरीज दा नाम, 'poster' : फिल्म या श्रृंखला दी इक तस्वीर दा लिंक, साइट imdb पर इक तस्वीर दिक्खो, 'desc' : फिल्म या श्रृंखला दा विस्तृत विवरण }; थुआढ़ा धन्नवाद! कृपया ट्रेलर दा लिंक ढूंढो
26;nl; Hallo! Adviseer een willekeurige film of serie. Retourneer het antwoord strikt in het volgende formaat: { 'title' : De naam van de film of serie, 'poster' : Link naar een foto uit een film of serie, zoek naar een foto op de site imdb, 'desc' : Gedetailleerde beschrijving van de film of serie }; Bied een andere film of serie aan. Retourneer het antwoord strikt in het volgende formaat: { 'title' : De naam van de film of serie, 'poster' : Link naar een foto uit een film of serie, zoek naar een foto op de site imdb, 'desc' : Gedetailleerde beschrijving van de film of serie }; Bedankt! Zoek een link naar de trailer
27;en; Hello! Advise a random film or series. Return the answer strictly in the following format: { 'title' : The name of the film or series, 'poster' : Link to a picture from a film or series, look for a picture on the site imdb, 'desc' : Detailed description of the film or series }; Offer another film or series. Return the answer strictly in the following format: { 'title' : The name of the film or series, 'poster' : Link to a picture from a film or series, look for a picture on the site imdb, 'desc' : Detailed description of the film or series }; Thank you! Please find a link to the trailer
28;eo; Saluton! Konsilu hazardan filmon aŭ serion. Redonu la respondon strikte en la sekva formato: { 'title' : La nomo de la filmo aŭ serio, 'poster' : Ligilo al bildo de filmo aŭ serio, serĉu bildon en la retejo imdb, 'desc' : Detala priskribo de la filmo aŭ serio }; Ofertu alian filmon aŭ serion. Redonu la respondon strikte en la sekva formato: { 'title' : La nomo de la filmo aŭ serio, 'poster' : Ligilo al bildo de filmo aŭ serio, serĉu bildon en la retejo imdb, 'desc' : Detala priskribo de la filmo aŭ serio }; Dankon! Bonvolu trovi ligon al la antaŭfilmo
29;et; Tere! Nõustage juhuslikku filmi või sarja. Tagastage vastus rangelt järgmises vormingus: { 'title' : Filmi või sarja nimi, 'poster' : Lingi filmi või sarja pildile, otsige saidilt imdb pilti, 'desc' : Filmi või sarja üksikasjalik kirjeldus }; Paku veel ühte filmi või sarja. Tagastage vastus rangelt järgmises vormingus: { 'title' : Filmi või sarja nimi, 'poster' : Lingi filmi või sarja pildile, otsige saidilt imdb pilti, 'desc' : Filmi või sarja üksikasjalik kirjeldus }; Aitäh! Palun leidke link treilerile
30;ee; Hello! Ðo aɖaŋu na sinima alo sinima siwo kplɔ wo nɔewo ɖo le vome. Trɔ ŋuɖoɖoa sesĩe le nɔnɔme si gbɔna me: { 'title' : Sinima alo sinima siwo kplɔ wo nɔewo ɖo ƒe ŋkɔ ., 'poster' : Link to a picture from a film alo series la, di nɔnɔmetata le nyatakakadzraɖoƒe si nye imdb ., 'desc' : Sinima alo sinima siwo kplɔ wo nɔewo ɖo ŋuti numeɖeɖe tsitotsito . }; Na sinima alo sinima bubu siwo kplɔ wo nɔewo ɖo. Trɔ ŋuɖoɖoa sesĩe le nɔnɔme si gbɔna me: { 'title' : Sinima alo sinima siwo kplɔ wo nɔewo ɖo ƒe ŋkɔ ., 'poster' : Link to a picture from a film alo series la, di nɔnɔmetata le nyatakakadzraɖoƒe si nye imdb ., 'desc' : Sinima alo sinima siwo kplɔ wo nɔewo ɖo ŋuti numeɖeɖe tsitotsito . }; Akpe na wò! Taflatse di ʋu si wotsɔna tsɔa xɔdɔmewoe ƒe kadodo .
31;tl; Kamusta! Payo ng isang random na pelikula o serye. Ibalik ang sagot nang mahigpit sa sumusunod na format: { 'title' : Ang pangalan ng pelikula o serye, 'poster' : Mag -link sa isang larawan mula sa isang pelikula o serye, maghanap ng larawan sa site imdb, 'desc' : Detalyadong paglalarawan ng pelikula o serye }; Mag -alok ng isa pang pelikula o serye. Ibalik ang sagot nang mahigpit sa sumusunod na format: { 'title' : Ang pangalan ng pelikula o serye, 'poster' : Mag -link sa isang larawan mula sa isang pelikula o serye, maghanap ng larawan sa site imdb, 'desc' : Detalyadong paglalarawan ng pelikula o serye }; Salamat! Mangyaring maghanap ng isang link sa trailer
32;fi; Hei! Neuvoa satunnaista elokuvaa tai sarjaa. Palauta vastaus tiukasti seuraavassa muodossa: { 'title' : Elokuvan tai sarjan nimi, 'poster' : Linkki elokuvan tai sarjan kuvaan, etsi kuva imdb -sivustolta, 'desc' : Yksityiskohtainen kuvaus elokuvasta tai sarjasta }; Tarjoa toinen elokuva tai sarja. Palauta vastaus tiukasti seuraavassa muodossa: { 'title' : Elokuvan tai sarjan nimi, 'poster' : Linkki elokuvan tai sarjan kuvaan, etsi kuva imdb -sivustolta, 'desc' : Yksityiskohtainen kuvaus elokuvasta tai sarjasta }; Kiitos! Löydä linkki perävaunuun
33;fr; Bonjour! Conseiller un film ou une série aléatoire. Retournez la réponse strictement dans le format suivant: { 'title' : Le nom du film ou de la série, 'poster' : Lien vers une image d'un film ou d'une série, recherchez une image sur le site imdb, 'desc' : Description détaillée du film ou de la série }; Offrez un autre film ou série. Retournez la réponse strictement dans le format suivant: { 'title' : Le nom du film ou de la série, 'poster' : Lien vers une image d'un film ou d'une série, recherchez une image sur le site imdb, 'desc' : Description détaillée du film ou de la série }; Merci! Veuillez trouver un lien vers la bande-annonce
34;fy; Hallo! Advisearje in willekeurige film as searje. Werom it antwurd strikt yn it folgjende formaat: { 'title' : De namme fan 'e film of searje, 'poster' : Link nei in ôfbylding út in film of searje, sykje nei in ôfbylding op 'e side imdb, 'desc' : Detaillearre beskriuwing fan 'e film of searje }; Biede in oare film as searje. Werom it antwurd strikt yn it folgjende formaat: { 'title' : De namme fan 'e film of searje, 'poster' : Link nei in ôfbylding út in film of searje, sykje nei in ôfbylding op 'e side imdb, 'desc' : Detaillearre beskriuwing fan 'e film of searje }; Dankewol! Fyn asjebleaft in kepling nei de trailer
35;gl; Ola! Aconsella unha película ou serie aleatoria. Devolve a resposta estrictamente no seguinte formato: { 'title' : O nome da película ou serie, 'poster' : Ligazón a unha imaxe dunha película ou serie, busque unha foto no sitio imdb, 'desc' : Descrición detallada da película ou serie }; Ofrece outra película ou serie. Devolve a resposta estrictamente no seguinte formato: { 'title' : O nome da película ou serie, 'poster' : Ligazón a unha imaxe dunha película ou serie, busque unha foto no sitio imdb, 'desc' : Descrición detallada da película ou serie }; Grazas! Atopa unha ligazón ao trailer
36;ka; გამარჯობა! გირჩევთ შემთხვევითი ფილმი ან სერიალი. დააბრუნეთ პასუხი მკაცრად შემდეგ ფორმატში: { 'title' : ფილმის ან სერიის სახელი, 'poster' : ბმული ფილმიდან ან სერიიდან, მოძებნეთ სურათი imdb საიტზე, 'desc' : ფილმის ან სერიის დეტალური აღწერა }; შესთავაზეთ კიდევ ერთი ფილმი ან სერია. დააბრუნეთ პასუხი მკაცრად შემდეგ ფორმატში: { 'title' : ფილმის ან სერიის სახელი, 'poster' : ბმული ფილმიდან ან სერიიდან, მოძებნეთ სურათი imdb საიტზე, 'desc' : ფილმის ან სერიის დეტალური აღწერა }; მადლობა! გთხოვთ, იპოვოთ ბმული ტრეილერის შესახებ
37;de; Hallo! Beraten Sie einen zufälligen Film oder eine zufällige Serie. Geben Sie die Antwort ausschließlich im folgenden Format zurück: { 'title' : Der Name des Films oder der Serie, 'poster' : Link zu einem Bild aus einem Film oder einer Serie, suchen Sie nach einem Bild auf der Website imdb, 'desc' : Detaillierte Beschreibung des Films oder der Serie }; Bieten Sie einen weiteren Film oder eine andere Serie an. Geben Sie die Antwort ausschließlich im folgenden Format zurück: { 'title' : Der Name des Films oder der Serie, 'poster' : Link zu einem Bild aus einem Film oder einer Serie, suchen Sie nach einem Bild auf der Website imdb, 'desc' : Detaillierte Beschreibung des Films oder der Serie }; Danke schön! Bitte finden Sie einen Link zum Trailer
38;el; Γειά σου! Συμβουλευτείτε μια τυχαία ταινία ή σειρά. Επιστρέψτε αυστηρά την απάντηση στην ακόλουθη μορφή: { 'title' : Το όνομα της ταινίας ή της σειράς, 'poster' : Σύνδεσμος σε μια εικόνα από μια ταινία ή μια σειρά, αναζητήστε μια φωτογραφία στο site imdb, 'desc' : Λεπτομερής περιγραφή της ταινίας ή της σειράς }; Προσφέρετε μια άλλη ταινία ή σειρά. Επιστρέψτε αυστηρά την απάντηση στην ακόλουθη μορφή: { 'title' : Το όνομα της ταινίας ή της σειράς, 'poster' : Σύνδεσμος σε μια εικόνα από μια ταινία ή μια σειρά, αναζητήστε μια φωτογραφία στο site imdb, 'desc' : Λεπτομερής περιγραφή της ταινίας ή της σειράς }; Σας ευχαριστώ! Βρείτε έναν σύνδεσμο στο τρέιλερ
39;gn; Mba'éichapa! Oñemoñe'ê peteî película térã serie aleatoria. Embojevy ñembohovái estrictamente ko formato-pe: { 'title' : Pe pelíkula térã serie réra ., 'poster' : Enlace peteĩ ta'anga peteĩ película térã serie-gui, eheka peteĩ ta'anga pe sitio imdb-pe ., 'desc' : Descripción detallada de la película térã serie rehegua . }; Oikuave'ê ambue película térã serie. Embojevy ñembohovái estrictamente ko formato-pe: { 'title' : Pe pelíkula térã serie réra ., 'poster' : Enlace peteĩ ta'anga peteĩ película térã serie-gui, eheka peteĩ ta'anga pe sitio imdb-pe ., 'desc' : Descripción detallada de la película térã serie rehegua . }; Aguyje! Eheka peteĩ enlace pe remolque-pe .
